artist_name,track_name
Sam Hunt,Bottle It Up - Acoustic Mixtape
Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack"
Knife Party,Bonfire
Avenged Sevenfold,Welcome to the Family
Cheat Codes,Follow You
ScHoolboy Q,The Purge
blink-182,After Midnight
Dr. Dre,What's The Difference
Disclosure,Help Me Lose My Mind
Ca$h Out,Let's Get It (feat. Ty Dolla $ign and Wiz Khalifa)
B.o.B,Out Of My Mind (feat. Nicki Minaj) - feat. Nicki Minaj
Vampire Weekend,Campus
Demi Lovato,Neon Lights
The Isley Brothers,Twist And Shout
Young Dolph,100 Shots
Lil Yachty,Like A Star
The Black Eyed Peas,Hey Mama
Sixpence None The Richer,There She Goes
Hoodie Allen,No Faith in Brooklyn (feat. Jhameel)
Lily Allen,Smile
Darius Rucker,It Won't Be Like This for Long
Snow Patrol,Set The Fire To The Third Bar
Niall Horan,Too Much To Ask
Drake,The Ride
Bombay Bicycle Club,Shuffle
Deftones,Change (In the House of Flies) - In The House Of Flies LP Version
The xx,On Hold
Len,Steal My Sunshine - Single Version
Big Sean,Sunday Morning Jetpack
Frankie Valli,Grease - 2007 Remastered Version
Marky Mark And The Funky Bunch,Good Vibrations
Primitive Radio Gods,Standing Outside a Broken Phone Booth with Money in My Hand
Dishwalla,Counting Blue Cars (Tell Me Your Thoughts On God)
Danny Ocean,Me Rehúso
Owl City,Vanilla Twilight
Alina Baraz,Fantasy - Felix Jaehn Remix
Portugal. The Man,Modern Jesus
Little Texas,God Blessed Texas
Quinn XCII,New Wave
Teddy Geiger,For You I Will (Confidence)
The Notorious B.I.G.,Notorious Thugs - 2014 Remastered Version
Juicy J,Smokin' Rollin'
David Bowie,Fame - 2016 Remastered Version
Playboi Carti,Lookin
Katy Perry,Rise
Phantogram,Black Out Days
Soulja Boy,Hey You There
LMFAO,La La La
Moon Taxi,Morocco
Big Sean,Ashley
Migos,Freak No More
DJ Lizak,Money And The Power Up
Jack White,Lazaretto
Fetty Wap,Make You Feel Good
Matoma,Party On The West Coast (feat. Snoop Dogg)
The Paper Kites,Featherstone
Tegan and Sara,Closer
mansionz,Wicked
Skizzy Mars,Comb
Basenji,Can't Get Enough
Johnny Cash,I've Been Everywhere
The Beatles,Don't Let Me Down - Remastered
The Beatles,Eleanor Rigby - Remastered
One Direction,Happily
Troye Sivan,SUBURBIA
